1	1	1	1
1	2	1	1
2	1	1	2
3	1	1	3
3	2	1	2
3	3	1	2
3	4	1	4
3	5	1	2
3	6	1	2
3	7	1	2
3	8	1	3
3	9	1	3
4	1	1	5
5	1	1	1
6	1	1	6
7	1	1	1
7	2	1	1
8	1	1	6
9	1	1	6
9	2	1	7
9	3	1	7
9	4	1	7
9	5	1	6
9	6	1	6
9	7	1	8
9	8	1	8
9	9	1	8
9	10	1	8
10	1	1	6
10	2	1	9
10	3	1	4
10	4	1	4
10	5	1	4
10	6	1	10
10	7	1	3
10	8	1	10
10	9	1	5
10	10	1	10
10	11	1	4
10	12	1	4
10	13	1	4
11	1	1	1
11	2	1	1
11	3	1	1
11	4	1	11
11	5	1	1
11	6	1	1
11	7	1	1
12	1	1	12
12	2	1	12
13	1	1	1
13	2	1	1
14	1	1	8
14	2	1	8
14	3	1	8
14	4	1	8
14	5	1	8
14	6	1	8
15	1	1	6
16	1	1	2
17	1	1	9
17	2	1	12
18	1	1	3
19	1	1	9
20	1	1	3
21	1	1	12
22	1	1	5
23	1	1	13
23	2	1	13
23	3	1	13
24	1	1	6
24	2	1	9
24	3	1	9
24	4	1	9
24	5	1	9
24	6	1	9
24	7	1	9
25	1	1	2
25	2	1	6
26	1	1	12
27	1	1	1
28	1	1	3
29	1	1	6
29	2	1	7
29	3	1	7
29	4	1	7
29	5	1	6
29	6	1	7
30	1	1	6
30	2	1	6
30	3	1	6
31	1	1	14
32	1	1	2
32	2	1	4
32	3	1	4
32	4	1	4
32	5	1	3
33	1	1	6
34	1	1	6
35	1	1	6
36	1	1	8
36	2	1	8
36	3	1	1
36	4	1	7
36	5	1	8
36	6	1	8
36	7	1	8
36	8	1	8
36	9	1	8
36	10	1	8
36	11	1	8
36	12	1	8
36	13	1	8
36	14	1	8
36	15	1	8
37	1	1	6
38	1	1	1
38	2	1	1
39	1	1	13
39	2	1	7
39	3	1	13
39	4	1	7
39	5	1	7
39	6	1	13
39	7	1	7
39	8	1	13
39	9	1	7
39	10	1	13
39	11	1	7
39	12	1	13
39	13	1	14
39	14	1	14
39	15	1	14
39	16	1	13
39	17	1	7
39	18	1	4
39	19	1	4
39	20	1	7
39	21	1	13
39	22	1	13
39	23	1	13
39	24	1	13
40	1	1	8
40	2	1	8
40	3	1	8
41	1	1	1
42	1	1	8
42	2	1	8
43	1	1	13
44	1	1	13
44	2	1	13
45	1	1	13
45	2	1	8
45	3	1	13
45	4	1	13
45	5	1	13
45	6	1	14
45	7	1	14
45	8	1	14
45	9	1	14
45	10	1	14
46	1	1	6
46	2	1	6
46	3	1	6
46	4	1	6
47	1	1	5
48	1	1	6
49	1	1	13
49	2	1	13
50	1	1	12
51	1	1	8
51	2	1	8
52	1	1	13
52	2	1	13
52	3	1	13
53	1	1	1
53	2	1	1
53	3	1	8
54	1	1	13
54	2	1	14
55	1	1	13
55	2	1	13
55	3	1	13
55	4	1	13
55	5	1	13
55	6	1	13
55	7	1	13
55	8	1	9
56	1	1	12
57	1	1	1
57	2	1	3
57	3	1	3
57	4	1	1
58	1	1	8
58	2	1	8
58	3	1	8
58	4	1	7
58	5	1	4
58	6	1	8
58	7	1	8
58	8	1	8
59	1	1	1
59	2	1	1
59	3	1	11
59	4	1	1
59	5	1	12
59	6	1	1
59	7	1	1
59	8	1	1
59	9	1	1
59	10	1	1
60	1	1	6
60	2	1	9
60	3	1	9
60	4	1	9
60	5	1	9
60	6	1	7
60	7	1	9
61	1	1	2
62	1	1	13
62	2	1	14
62	3	1	13
63	1	1	1
63	2	1	1
63	3	1	1
64	1	1	2
64	2	1	12
64	3	1	3
64	4	1	4
64	5	1	12
64	6	1	12
65	1	1	1
66	1	1	4
67	1	1	1
67	2	1	3
67	3	1	3
68	1	1	1
68	2	1	1
68	3	1	12
68	4	1	1
69	1	1	14
69	2	1	14
69	3	1	14
69	4	1	14
69	5	1	14
69	6	1	14
70	1	1	1
70	2	1	1
71	1	1	2
72	1	1	11
72	2	1	11
72	3	1	14
73	1	1	6
73	2	1	8
74	1	1	9
74	2	1	12
74	3	1	9
74	4	1	9
74	5	1	9
74	6	1	9
74	7	1	7
74	8	1	4
74	9	1	4
74	10	1	4
74	11	1	4
74	12	1	4
74	13	1	4
74	14	1	4
75	1	1	1
75	2	1	2
75	3	1	1
75	4	1	14
75	5	1	14
75	6	1	14
75	7	1	14
75	8	1	14
75	9	1	14
75	10	1	14
75	11	1	14
75	12	1	14
75	13	1	14
75	14	1	14
75	15	1	14
75	16	1	1
75	17	1	2
75	18	1	2
76	1	1	1
76	2	1	6
76	3	1	6
77	1	1	6
78	1	1	1
78	2	1	4
78	3	1	7
78	4	1	1
78	5	1	10
78	6	1	10
78	7	1	1
78	8	1	2
78	9	1	2
78	10	1	1
78	11	1	1
78	12	1	6
78	13	1	1
79	1	1	8
79	2	1	8
79	3	1	8
79	4	1	8
80	1	1	1
81	1	1	1
81	2	1	1
81	3	1	12
81	4	1	2
81	5	1	2
81	6	1	4
82	1	1	1
82	2	1	1
82	3	1	1
82	4	1	1
82	5	1	1
82	6	1	1
82	7	1	1
82	8	1	1
83	1	1	1
84	1	1	8
84	2	1	8
84	3	1	8
84	4	1	8
84	5	1	8
84	6	1	8
84	7	1	8
85	1	1	1
85	2	1	1
85	3	1	4
85	4	1	10
85	5	1	10
85	6	1	10
85	7	1	10
85	8	1	10
85	9	1	15
85	10	1	10
86	1	1	6
86	2	1	15
86	3	1	6
87	1	1	6
88	1	1	6
89	1	1	8
89	2	1	8
89	3	1	8
89	4	1	8
90	1	1	6
91	1	1	6
92	1	1	3
92	2	1	3
93	1	1	8
93	2	1	8
94	1	1	3
94	2	1	3
94	3	1	3
94	4	1	4
95	1	1	4
96	1	1	12
97	1	1	13
97	2	1	13
97	3	1	14
98	1	1	13
98	2	1	13
98	3	1	13
98	4	1	13
99	1	1	8
99	2	1	8
99	3	1	8
99	4	1	8
99	5	1	8
99	6	1	8
99	7	1	8
99	8	1	8
99	9	1	8
